english,ipa,audio
klong,klˈɔŋ,assets_small\klong.wav
kleptomaniacs,klˌɛptəmˈeɪnɪˌæks,assets_small\kleptomaniacs.wav
klephtisms,klˈɛftɪzəmz,assets_small\klephtisms.wav
klaxoning,klˈæksənɪŋ,assets_small\klaxoning.wav
klangfarbe,klˈæŋfɑːɹb,assets_small\klangfarbe.wav
klendusity,klɛndʒˈuːsᵻɾi,assets_small\klendusity.wav
kluging,klˈuːdʒɪŋ,assets_small\kluging.wav
knackiest,nˈækiɪst,assets_small\knackiest.wav
knarred,nˈɑːɹd,assets_small\knarred.wav
knavery,nˈeɪvɚɹi,assets_small\knavery.wav
knave,nˈeɪv,assets_small\knave.wav
knickpoints,nˈɪkpɔɪnts,assets_small\knickpoints.wav
knightlier,nˈaɪtliɚ,assets_small\knightlier.wav
kneading,nˈiːdɪŋ,assets_small\kneading.wav
kniferests,nˈaɪfɚɹɪsts,assets_small\kniferests.wav
knittle,nˈɪɾəl,assets_small\knittle.wav
koumises,kˈuːmaɪzᵻz,assets_small\koumises.wav
komondorock,kˈɑːməndˌoːɹɑːk,assets_small\komondorock.wav
kotukutukus,kˈɑːɾuːkjˌuːɾuːkəs,assets_small\kotukutukus.wav
kokiri,kəkˈiəɹi,assets_small\kokiri.wav
korimako,kˌoːɹɪmˈɑːkoʊ,assets_small\korimako.wav
kosmoses,kˈɑːzmoʊsᵻz,assets_small\kosmoses.wav
korari,kɚɹˈɑːɹɹi,assets_small\korari.wav
kolkhozes,kˈɑːlkhoʊzᵻz,assets_small\kolkhozes.wav
korero,kˈoːɹoʊ,assets_small\korero.wav
krugerrands,kɹˈuːdʒɪɹˌændz,assets_small\krugerrands.wav
kreatine,kɹˈiːtiːn,assets_small\kreatine.wav
krakowiaks,kɹˈækaʊˌɪæks,assets_small\krakowiaks.wav
kryometers,kɹaɪˈɑːmɪɾɚz,assets_small\kryometers.wav
kreeps,kɹˈiːps,assets_small\kreeps.wav
krumkake,kɹˈʌmkeɪk,assets_small\krumkake.wav
kreuzers,kɹˈuːzɚz,assets_small\kreuzers.wav
krummhorns,kɹˈʌmhɔːɹnz,assets_small\krummhorns.wav
kreasote,kɹˈiːsoʊt,assets_small\kreasote.wav
ksars,kˈeɪsˈɑːɹz,assets_small\ksars.wav
kumites,kjˈuːmaɪts,assets_small\kumites.wav
kurveyor,kɜːvˈeɪɚ,assets_small\kurveyor.wav
kumite,kjˈuːmaɪt,assets_small\kumite.wav
kutis,kjˈuːɾiz,assets_small\kutis.wav
kulaki,kjʊlˈæki,assets_small\kulaki.wav
kurrajongs,kˈɜːɹɐdʒˌɑːŋz,assets_small\kurrajongs.wav
kudoses,kjˈuːdoʊsᵻz,assets_small\kudoses.wav
kurres,kˈɜːz,assets_small\kurres.wav
kurgans,kˈɜːɡənz,assets_small\kurgans.wav
kvasses,kˈeɪvˈæsᵻz,assets_small\kvasses.wav
kvelled,kˈeɪvˈɛld,assets_small\kvelled.wav
kvetchers,kˈeɪvˈɛtʃɚz,assets_small\kvetchers.wav
kvetcher,kˈeɪvˈɛtʃɚ,assets_small\kvetcher.wav
kvetching,kˈeɪvˈɛtʃɪŋ,assets_small\kvetching.wav
kvases,kˈeɪvˈeɪsᵻz,assets_small\kvases.wav
kvetchier,kˈeɪvˈɛtʃiɚ,assets_small\kvetchier.wav
kvelling,kˈeɪvˈɛlɪŋ,assets_small\kvelling.wav
kvetch,kˈeɪvˈɛtʃ,assets_small\kvetch.wav
kwela,kwˈɛlə,assets_small\kwela.wav
kwanza,kwˈænzə,assets_small\kwanza.wav
kwachas,kwˈætʃəz,assets_small\kwachas.wav
kwanzas,kwˈænzəz,assets_small\kwanzas.wav
kwashiorkors,kwˈɑːʃɪɹkɚz,assets_small\kwashiorkors.wav
kwashiorkor,kwˈɑːʃɪɹkɚ,assets_small\kwashiorkor.wav
kwacha,kwˈætʃə,assets_small\kwacha.wav
kwaitos,kwˈeɪɾoʊz,assets_small\kwaitos.wav
kwelas,kwˈɛləz,assets_small\kwelas.wav
kyanised,kˈaɪɐnˌaɪzd,assets_small\kyanised.wav
kyanites,kˈaɪɐnˌaɪts,assets_small\kyanites.wav
kybosh,kˈaɪbɑːʃ,assets_small\kybosh.wav
kything,kˈɪθɪŋ,assets_small\kything.wav
kyats,kˈaɪæts,assets_small\kyats.wav
kynds,kˈɪndz,assets_small\kynds.wav
kynding,kˈɪndɪŋ,assets_small\kynding.wav
kylin,kˈaɪlɪn,assets_small\kylin.wav
kyphosis,kaɪfˈoʊsɪs,assets_small\kyphosis.wav
larkspurs,lˈɑːɹkspʊɹz,assets_small\larkspurs.wav
labyrinthic,lˌæbɪɹˈɪnθɪk,assets_small\labyrinthic.wav
larrikinisms,lˈæɹɪkˌɪnɪzəmz,assets_small\larrikinisms.wav
laundress,lˈɔːndɹəs,assets_small\laundress.wav
languageless,lˈæŋɡwɪdʒləs,assets_small\languageless.wav
ladylike,lˈeɪdilˌaɪk,assets_small\ladylike.wav
laisse,lˈeɪs,assets_small\laisse.wav
largely,lˈɑːɹdʒli,assets_small\largely.wav
landdroses,lˈændɹoʊzᵻz,assets_small\landdroses.wav
legionnaire,lˈiːdʒənˈɛɹ,assets_small\legionnaire.wav
leishmanial,lɛʃmˈeɪnɪəl,assets_small\leishmanial.wav
leadoff,lˈiːdɔf,assets_small\leadoff.wav
legering,lˈɛdʒɚɹɪŋ,assets_small\legering.wav
leaked,lˈiːkt,assets_small\leaked.wav
legiblenesses,lˈɛdʒəbəlnəsᵻz,assets_small\legiblenesses.wav
lealties,lˈɛltiz,assets_small\lealties.wav
legerdemains,lˈɛdʒɚdᵻmˌeɪnz,assets_small\legerdemains.wav
leguan,lˈɛɡjuːən,assets_small\leguan.wav
lherzolites,lˈɜːzəlˌaɪts,assets_small\lherzolites.wav
lherzolite,lˈɜːzəlˌaɪt,assets_small\lherzolite.wav
limestone,lˈaɪmstoʊn,assets_small\limestone.wav
literation,lˌɪɾɚɹˈeɪʃən,assets_small\literation.wav
liberalists,lˈɪbɚɹəlˌɪsts,assets_small\liberalists.wav
lipurias,lɪpjˈʊɹɹiəz,assets_small\lipurias.wav
lingels,lˈɪndʒəlz,assets_small\lingels.wav
lithifications,lˌɪθɪfɪkˈeɪʃənz,assets_small\lithifications.wav
lithest,lˈaɪðst,assets_small\lithest.wav
liars,lˈaɪɚz,assets_small\liars.wav
lionels,lˈaɪənəlz,assets_small\lionels.wav
llamas,lˈɑːməz,assets_small\llamas.wav
llaneros,ɬænˈɛɹoʊz,assets_small\llaneros.wav
llano,ɬænˈoʊ,assets_small\llano.wav
llanos,ɬænˈoʊz,assets_small\llanos.wav
llama,lˈɑːmə,assets_small\llama.wav
llanero,ɬænˈɛɹoʊ,assets_small\llanero.wav
lousy,lˈaʊsi,assets_small\lousy.wav
loaves,lˈoʊvz,assets_small\loaves.wav
loveseats,lˈʌvsiːts,assets_small\loveseats.wav
logography,ləɡˈɑːɡɹəfi,assets_small\logography.wav
lomas,lˈoʊməz,assets_small\lomas.wav
loiteringly,lˈɔɪɾɚɹɪŋli,assets_small\loiteringly.wav
lovemakings,lˈʌvmeɪkɪŋz,assets_small\lovemakings.wav
locoman,lˌoʊkɑːmən,assets_small\locoman.wav
logogriphs,lˈɑːɡəɡɹˌɪfz,assets_small\logogriphs.wav
lumberjackets,lˈʌmbɚdʒˌækɪts,assets_small\lumberjackets.wav
lunchtimes,lˈʌntʃtaɪmz,assets_small\lunchtimes.wav
luter,lˈuːɾɚ,assets_small\luter.wav
lurdanes,lˈɜːdeɪnz,assets_small\lurdanes.wav
lugworm,lˈʌɡwɜːm,assets_small\lugworm.wav
luminal,lˈuːmɪnəl,assets_small\luminal.wav
lubricating,lˈuːbɹᵻkˌeɪɾɪŋ,assets_small\lubricating.wav
lusterwares,lˈʌstɚwˌɛɹz,assets_small\lusterwares.wav
lucumos,luːkˈuːmoʊz,assets_small\lucumos.wav
lweis,ˈɛlwˈaɪz,assets_small\lweis.wav
lyrism,lɚɹˈɪzəm,assets_small\lyrism.wav
lymphogranulomas,lˌɪmfəɡɹˌænuːlˈoʊməz,assets_small\lymphogranulomas.wav
lymphomatous,lˌɪmfəmˈæɾəs,assets_small\lymphomatous.wav
lysigenic,lˌaɪsaɪdʒˈɛnɪk,assets_small\lysigenic.wav
lysogenizes,lˈaɪsoʊdʒənˌaɪzᵻz,assets_small\lysogenizes.wav
lysogeny,laɪsˈɑːdʒɛni,assets_small\lysogeny.wav
lymphopoietic,lˌɪmfəpɔɪˈɛɾɪk,assets_small\lymphopoietic.wav
lyceum,laɪsˈiːəm,assets_small\lyceum.wav
lycea,lˈaɪsiə,assets_small\lycea.wav
manginesses,mˈæŋɡnəsᵻz,assets_small\manginesses.wav
malleolus,mˌælɪˈoʊləs,assets_small\malleolus.wav
macrames,mˈækɹeɪmz,assets_small\macrames.wav
magnesium,mæɡnˈiːziəm,assets_small\magnesium.wav
maneuverer,mənˈuːvɚɹɚ,assets_small\maneuverer.wav
macroscales,mˈækɹəskˌeɪlz,assets_small\macroscales.wav
manyfold,mˈænɪfˌoʊld,assets_small\manyfold.wav
maintopsail,mˈeɪntəpsˌeɪl,assets_small\maintopsail.wav
martins,mˈɑːɹtɪnz,assets_small\martins.wav
mbaqangas,ˈɛmbækˈæŋɡəz,assets_small\mbaqangas.wav
mbaqanga,ˈɛmbækˈæŋɡə,assets_small\mbaqanga.wav
mbira,ˈɛmbˈiəɹə,assets_small\mbira.wav
mbiras,ˈɛmbˈiəɹəz,assets_small\mbiras.wav
mendicity,mɛndˈɪsᵻɾi,assets_small\mendicity.wav
methionines,mˈɛθɪˌɑːnaɪnz,assets_small\methionines.wav
mentionable,mˈɛnʃənəbəl,assets_small\mentionable.wav
meanly,mˈiːnli,assets_small\meanly.wav
meanwhile,mˈiːnwaɪl,assets_small\meanwhile.wav
memorizations,mˌɛmɚɹᵻzˈeɪʃənz,assets_small\memorizations.wav
messing,mˈɛsɪŋ,assets_small\messing.wav
mesally,mˈɛzəli,assets_small\mesally.wav
menta,mˈɛntə,assets_small\menta.wav
mgangas,ˈɛmɡˈæŋɡəz,assets_small\mgangas.wav
mganga,ˈɛmɡˈæŋɡə,assets_small\mganga.wav
mhorr,ˈɛmhˈoːɹ,assets_small\mhorr.wav
mhorrs,ˈɛmhˈoːɹz,assets_small\mhorrs.wav
micrometrical,mˌaɪkɹoʊmˈɛtɹɪkəl,assets_small\micrometrical.wav
middorsal,mˈɪdoːɹsəl,assets_small\middorsal.wav
miasmas,maɪˈæzməz,assets_small\miasmas.wav
misween,mɪswˈiːn,assets_small\misween.wav
minutely,maɪnjˈuːtli,assets_small\minutely.wav
miliary,mˈɪliəɹi,assets_small\miliary.wav
mitrailleur,mˌɪtɹeɪlˈʊɹ,assets_small\mitrailleur.wav
mislabeled,mɪslˈeɪbəld,assets_small\mislabeled.wav
missets,mˈɪsɛts,assets_small\missets.wav
mnemon,nˈɛmən,assets_small\mnemon.wav
mnemic,nˈɛmɪk,assets_small\mnemic.wav
mnemonists,nˈɛmənˌɪsts,assets_small\mnemonists.wav
mnemonist,nˈɛmənˌɪst,assets_small\mnemonist.wav
mnemotechnics,nˌɛmoʊtˈɛknɪks,assets_small\mnemotechnics.wav
mneme,nˈiːm,assets_small\mneme.wav
mnemonic,nɛmˈɑːnɪk,assets_small\mnemonic.wav
mnemonics,nɛmˈɑːnɪks,assets_small\mnemonics.wav
mnemonically,nɛmˈɑːnɪkli,assets_small\mnemonically.wav
molybdosis,mˌɑːlɪbdˈoʊsɪs,assets_small\molybdosis.wav
monticle,mˈɔntɪkəl,assets_small\monticle.wav
monophonic,mˌɑːnoʊfˈɑːnɪk,assets_small\monophonic.wav
monopolizers,mənˈɑːpəlˌaɪzɚz,assets_small\monopolizers.wav
monogamousness,mənˈɑːɡɐməsnəs,assets_small\monogamousness.wav
moraceous,mɔːɹˈeɪʃəs,assets_small\moraceous.wav
mopery,mˈoʊpɚɹi,assets_small\mopery.wav
motif,moʊtˈiːf,assets_small\motif.wav
montbretia,mˈɔntbɹɛʃə,assets_small\montbretia.wav
mpret,ˈɛmpɹˈɛt,assets_small\mpret.wav
mprets,ˈɛmpɹˈɛts,assets_small\mprets.wav
mridanga,ˈɛmɹɪdˈæŋɡə,assets_small\mridanga.wav
mridang,ˈɛmɹˈɪdæŋ,assets_small\mridang.wav
mridangas,ˈɛmɹɪdˈæŋɡəz,assets_small\mridangas.wav
mridangam,ˈɛmɹˈɪdɐŋɡˌæm,assets_small\mridangam.wav
mridangams,ˈɛmɹˈɪdɐŋɡˌæmz,assets_small\mridangams.wav
mridamgam,ˈɛmɹˈɪdɐmɡˌæm,assets_small\mridamgam.wav
mridamgams,ˈɛmɹˈɪdɐmɡˌæmz,assets_small\mridamgams.wav
mridangs,ˈɛmɹˈɪdæŋz,assets_small\mridangs.wav
multiday,mˈʌltidˌeɪ,assets_small\multiday.wav
murries,mˈɜːɹiz,assets_small\murries.wav
mucronated,mˈʌkɹənˌeɪɾᵻd,assets_small\mucronated.wav
musics,mjˈuːzɪks,assets_small\musics.wav
multiwindows,mˌʌltɪwˈɪndoʊz,assets_small\multiwindows.wav
mutagenises,mjˈuːɾeɪdʒnˌaɪzᵻz,assets_small\mutagenises.wav
multiplicatively,mˌʌltɪplˈɪkətˌɪvli,assets_small\multiplicatively.wav
murrhines,mˈɜːhaɪnz,assets_small\murrhines.wav
multidimensionality,mˌʌltɪdᵻmˌɛnʃənˈælᵻɾi,assets_small\multidimensionality.wav
mvules,ˈɛmvjˈuːlz,assets_small\mvules.wav
mvule,ˈɛmvjˈuːl,assets_small\mvule.wav
mwalimus,ˈɛmwˈælɪməs,assets_small\mwalimus.wav
mwalimu,ˈɛmwˈælɪmˌuː,assets_small\mwalimu.wav
myasis,maɪˈɑːsiz,assets_small\myasis.wav
mythomanias,mˌɪθəmˈeɪniəz,assets_small\mythomanias.wav
mystified,mˈɪstᵻfˌaɪd,assets_small\mystified.wav
myrrhols,mˈɪrhɑːlz,assets_small\myrrhols.wav
myeloproliferative,mˈaɪɪlˌɑːpɹəlˌɪfɚɹətˌɪv,assets_small\myeloproliferative.wav
mythicizing,mˈɪθɪsˌaɪzɪŋ,assets_small\mythicizing.wav
mythised,mˈɪθaɪzd,assets_small\mythised.wav
mystagogies,mˈɪstɐɡˌɑːɡiz,assets_small\mystagogies.wav
mystifiers,mˈɪstɪfˌaɪɚz,assets_small\mystifiers.wav
mzungus,ˈɛmzˈʌŋɡəs,assets_small\mzungus.wav
mzees,ˈɛmzˈiːz,assets_small\mzees.wav
mzungu,ˈɛmzˈʌŋɡuː,assets_small\mzungu.wav
narrater,nɚɹˈeɪɾɚ,assets_small\narrater.wav
naifly,nˈeɪflaɪ,assets_small\naifly.wav
naivenesses,naɪˈiːvnəsᵻz,assets_small\naivenesses.wav
nationality,nˌæʃənˈælᵻɾi,assets_small\nationality.wav
napes,nˈeɪps,assets_small\napes.wav
natatorium,nˌæɾɐtˈoːɹiəm,assets_small\natatorium.wav
nazify,nˈæzᵻfˌaɪ,assets_small\nazify.wav
navigable,nˈævɪɡəbəl,assets_small\navigable.wav
nance,nˈæns,assets_small\nance.wav
nebulizers,nˈɛbjʊlˌaɪzɚz,assets_small\nebulizers.wav
neatened,nˈiːʔn̩d,assets_small\neatened.wav
nebulizes,nˈɛbəlˌaɪzᵻz,assets_small\nebulizes.wav
necessitations,nəsˌɛsɪtˈeɪʃənz,assets_small\necessitations.wav
neoterizes,nˈiːoʊɾɚɹˌaɪzᵻz,assets_small\neoterizes.wav
neophile,nˈiːoʊfˌaɪl,assets_small\neophile.wav
neurologically,nˌʊɹɹəlˈɑːdʒɪkli,assets_small\neurologically.wav
nerines,nˈɛɹiːnz,assets_small\nerines.wav
neurasthenically,nˌʊɹɹɐsθˈɛnɪkli,assets_small\neurasthenically.wav
ngoma,əŋɡˈoʊmə,assets_small\ngoma.wav
ngararas,əŋɡæɹˈɑːɹɹəz,assets_small\ngararas.wav
ngarara,əŋɡæɹˈɑːɹɹə,assets_small\ngarara.wav
ngultrum,əŋɡˈʌltɹəm,assets_small\ngultrum.wav
ngatis,əŋɡˈɑːɾiz,assets_small\ngatis.wav
ngwee,ˈɛŋɡwˈiː,assets_small\ngwee.wav
ngaio,əŋɡˈeɪoʊ,assets_small\ngaio.wav
ngultrums,əŋɡˈʌltɹəmz,assets_small\ngultrums.wav
ngomas,əŋɡˈoʊməz,assets_small\ngomas.wav
nhandu,ˈɛnhˈænduː,assets_small\nhandu.wav
nhandus,ˈɛnhˈændəs,assets_small\nhandus.wav
niggardise,nˈɪɡɚdˌaɪz,assets_small\niggardise.wav
nightstands,nˈaɪtstændz,assets_small\nightstands.wav
niffnaffs,nˈɪfnæfs,assets_small\niffnaffs.wav
nigglier,nˈɪɡliɚ,assets_small\nigglier.wav
nictitated,nˈɪktᵻtˌeɪɾᵻd,assets_small\nictitated.wav
nizam,nˈɪzæm,assets_small\nizam.wav
nightclub,nˈaɪtklʌb,assets_small\nightclub.wav
nidderlings,nˈɪdɜːlɪŋz,assets_small\nidderlings.wav
nitrobenzene,nˌaɪtɹoʊbˈɛnziːn,assets_small\nitrobenzene.wav
nkosis,ˈɛŋkˈoʊsɪs,assets_small\nkosis.wav
nkosi,ˈɛŋkˈoʊsi,assets_small\nkosi.wav
nonfinancial,nˌɑːnfaɪnˈænʃəl,assets_small\nonfinancial.wav
nonplus,nˌɑːnplˈʌs,assets_small\nonplus.wav
nonantibiotics,nˌɑːnˌæntɪbaɪˈɑːɾɪks,assets_small\nonantibiotics.wav
noticers,nˈoʊɾɪsɚz,assets_small\noticers.wav
nondialyzable,nˌɑːndˈaɪəlaɪzəbəl,assets_small\nondialyzable.wav
nonfatal,nˌɑːnfˈeɪɾəl,assets_small\nonfatal.wav
nonhormonal,nˌɑːnhoːɹmˈoʊnəl,assets_small\nonhormonal.wav
nonleaded,nˌɑːnlˈɛdᵻd,assets_small\nonleaded.wav
nonpetroleum,nˌɑːnpətɹˈoʊliːəm,assets_small\nonpetroleum.wav
nullificationists,nˌʌlɪfɪkˈeɪʃənˌɪsts,assets_small\nullificationists.wav
numberless,nˈʌmbɚləs,assets_small\numberless.wav
nuclearizing,nˈuːklɪɹˌaɪzɪŋ,assets_small\nuclearizing.wav
nucleal,nˈuːklɪəl,assets_small\nucleal.wav
numinousnesses,nˈuːmɪnˌaʊsnəsᵻz,assets_small\numinousnesses.wav
nullifies,nˈʌlᵻfˌaɪz,assets_small\nullifies.wav
nutter,nˈʌɾɚ,assets_small\nutter.wav
nubuck,nˈuːbʌk,assets_small\nubuck.wav
nummulites,nˈʌmjʊlˌaɪts,assets_small\nummulites.wav
nymphal,nˈɪmfəl,assets_small\nymphal.wav
nystagmus,nˈɪstæɡməs,assets_small\nystagmus.wav
nyctinastic,nˌɪktɪnˈæstɪk,assets_small\nyctinastic.wav
nymphos,nˈɪmfoʊz,assets_small\nymphos.wav
nymphish,nˈɪmfɪʃ,assets_small\nymphish.wav
nympholepts,nˈɪmphoʊlˌɛpts,assets_small\nympholepts.wav
nyala,naɪˈɑːlə,assets_small\nyala.wav
nylons,nˈaɪlɑːnz,assets_small\nylons.wav
nyctalopes,nˈɪktɐlˌoʊps,assets_small\nyctalopes.wav
oatcake,ˈoʊtkeɪk,assets_small\oatcake.wav
oafishnesses,ˈoʊfɪʃnəsᵻz,assets_small\oafishnesses.wav
oarsman,ˈoːɹzmən,assets_small\oarsman.wav
oatcakes,ˈoʊtkeɪks,assets_small\oatcakes.wav
oasthouses,ˈoʊsthaʊsᵻz,assets_small\oasthouses.wav
oanshagh,ˈoʊnʃɑːɡ,assets_small\oanshagh.wav
oaves,ˈoʊvz,assets_small\oaves.wav
oarsmanships,ˈoːɹzmənʃˌɪps,assets_small\oarsmanships.wav
oarlike,ˈoːɹlaɪk,assets_small\oarlike.wav
obesity,oʊbˈiːsəɾi,assets_small\obesity.wav
obsoleted,ˈɑːbsəlɪɾᵻd,assets_small\obsoleted.wav
obligati,ˌɑːblɪɡˈɑːɾi,assets_small\obligati.wav
obliviously,əblˈɪviəsli,assets_small\obliviously.wav
obsessiveness,əbsˈɛsɪvnəs,assets_small\obsessiveness.wav
obviators,ˈɑːbvɪˌeɪɾɚz,assets_small\obviators.wav
obdurates,ˈɑːbdʒɚɹəts,assets_small\obdurates.wav
obumbrated,ˈɑːbəmbɹˌeɪɾᵻd,assets_small\obumbrated.wav
objectless,ɑːbdʒˈɛktləs,assets_small\objectless.wav
occidental,ˌɑːksɪdˈɛntəl,assets_small\occidental.wav
octrois,ˈɑːktrwɑː,assets_small\octrois.wav
octandrian,ɑːktˈændɹiən,assets_small\octandrian.wav
octad,ˈɑːktæd,assets_small\octad.wav
octopodans,ˈɑːktəpˌɑːdənz,assets_small\octopodans.wav
occulted,əkˈʌltᵻd,assets_small\occulted.wav
octaploidies,ˈɑːktɐplˌɔɪdiz,assets_small\octaploidies.wav
octetts,ˈɑːktɪts,assets_small\octetts.wav
occluding,əklˈuːdɪŋ,assets_small\occluding.wav
odometry,oʊdˈɑːmətɹi,assets_small\odometry.wav
odontogenies,ˌoʊdɔntˈɑːdʒɛniz,assets_small\odontogenies.wav
oddness,ˈɑːdnəs,assets_small\oddness.wav
odontologic,ˌoʊdɔntəlˈɑːdʒɪk,assets_small\odontologic.wav
odorously,ˈoʊdɚɹəsli,assets_small\odorously.wav
oddnesses,ˈɑːdnəsᵻz,assets_small\oddnesses.wav
odontoma,ˌoʊdɔntˈoʊmə,assets_small\odontoma.wav
odontolite,ˈoʊdɔntˌɑːlaɪt,assets_small\odontolite.wav
odonatologists,ˌoʊdoʊnɐtˈɑːlədʒˌɪsts,assets_small\odonatologists.wav
oedemata,ˌiːdᵻmˈɑːɾə,assets_small\oedemata.wav
oenomancy,ˈoʊnəmənsi,assets_small\oenomancy.wav
oenophils,ˈoʊnəfˌɪlz,assets_small\oenophils.wav
oestruses,ˈiːstɹəsᵻz,assets_small\oestruses.wav
oedipally,ˈiːdɪpəli,assets_small\oedipally.wav
oenomel,ˈoʊnoʊməl,assets_small\oenomel.wav
oestrone,ˈiːstɹoʊn,assets_small\oestrone.wav
oecumenically,ˌoʊkjuːmˈɛnɪkli,assets_small\oecumenically.wav
oenologists,oʊnˈɑːlədʒˌɪsts,assets_small\oenologists.wav
offies,ˈɔfiz,assets_small\offies.wav
offseason,ˈɔfsiːzən,assets_small\offseason.wav
offal,ˈɔfəl,assets_small\offal.wav
often,ˈɔfən,assets_small\often.wav
offered,ˈɔfɚd,assets_small\offered.wav
offloaded,ˈɔfloʊdᵻd,assets_small\offloaded.wav
offstages,ˈɔfsteɪdʒᵻz,assets_small\offstages.wav
offshores,ˈɔfʃoːɹz,assets_small\offshores.wav
offices,ˈɑːfɪsᵻz,assets_small\offices.wav
oggin,ˈɑːɡɪn,assets_small\oggin.wav
ogreism,ˈoʊɡɹeɪzəm,assets_small\ogreism.wav
oggins,ˈɑːɡɪnz,assets_small\oggins.wav
ogreishly,ˈoʊɡɹeɪʃli,assets_small\ogreishly.wav
ogham,ˈɑːɡæm,assets_small\ogham.wav
ogives,ˈɑːɡɪvz,assets_small\ogives.wav
oglers,ˈɑːɡlɚz,assets_small\oglers.wav
ogrish,ˈɑːɡɹɪʃ,assets_small\ogrish.wav
ogrishly,ˈɑːɡɹɪʃli,assets_small\ogrishly.wav
ohmically,ˈoʊmɪkli,assets_small\ohmically.wav
ohmages,ˈoʊmɪdʒᵻz,assets_small\ohmages.wav
ohias,ˈoʊhiəz,assets_small\ohias.wav
ohmmeter,ˈoʊmiːɾɚ,assets_small\ohmmeter.wav
ohmmeters,ˈoʊmiːɾɚz,assets_small\ohmmeters.wav
ohone,ˈoʊhoʊn,assets_small\ohone.wav
ohmic,ˈoʊmɪk,assets_small\ohmic.wav
ohing,ˈoʊɪŋ,assets_small\ohing.wav
ohmage,ˈoʊmɪdʒ,assets_small\ohmage.wav
oilnuts,ˈɔɪlnʌts,assets_small\oilnuts.wav
oiling,ˈɔɪlɪŋ,assets_small\oiling.wav
oilhole,ˈɔɪlhoʊl,assets_small\oilhole.wav
oilpapers,ˈɔɪlpeɪpɚz,assets_small\oilpapers.wav
oinomel,ˈɔɪnoʊməl,assets_small\oinomel.wav
oilnut,ˈɔɪlnʌt,assets_small\oilnut.wav
oilfired,ˈɔɪlfaɪɚd,assets_small\oilfired.wav
oilcamp,ˈɔɪlkæmp,assets_small\oilcamp.wav
oileries,ˈɔɪlɚɹiz,assets_small\oileries.wav
ojime,ˈɑːdʒaɪm,assets_small\ojime.wav
ojimes,ˈɑːdʒaɪmz,assets_small\ojimes.wav
okayed,oʊkˈeɪd,assets_small\okayed.wav
okeydoke,ˈoʊkɪdˌoʊk,assets_small\okeydoke.wav
okapi,ˈɑːkæpi,assets_small\okapi.wav
okays,oʊkˈeɪz,assets_small\okays.wav
okras,ˈoʊkɹəz,assets_small\okras.wav
okehs,ˈoʊkeɪz,assets_small\okehs.wav
okimonos,ˌɑːkɪmˈoʊnoʊz,assets_small\okimonos.wav
okaying,oʊkˈeɪɪŋ,assets_small\okaying.wav
okapis,ˈɑːkæpiz,assets_small\okapis.wav
oliguric,ˌɑːlɪɡjˈʊɹɹɪk,assets_small\oliguric.wav
oldies,ˈoʊldiz,assets_small\oldies.wav
oleoresinous,oʊlˈoːɹsɪnəs,assets_small\oleoresinous.wav
olefines,ˈoʊlfaɪnz,assets_small\olefines.wav
oligocythaemias,ˌɑːlɪɡˌɑːsɪθˈiːmiəz,assets_small\oligocythaemias.wav
olorosos,ˌɑːloːɹˈoʊsoʊz,assets_small\olorosos.wav
olivinitic,ˌɑːlɪvɪnˈɪɾɪk,assets_small\olivinitic.wav
ollas,ˈɑːləz,assets_small\ollas.wav
oligospermia,ˌɑːlɪɡˈɑːspɚmˌiə,assets_small\oligospermia.wav
omnivore,ˈɑːmnɪvˌoːɹ,assets_small\omnivore.wav
ombudsmanships,ˈɑːmbədzmənʃˌɪps,assets_small\ombudsmanships.wav
omphalomancy,ˈɑːmfɐlˌɑːmənsi,assets_small\omphalomancy.wav
omenta,oʊmˈɛntə,assets_small\omenta.wav
omissiveness,oʊmˈɪsɪvnəs,assets_small\omissiveness.wav
ombrophobe,ˈɑːmbɹəfˌoʊb,assets_small\ombrophobe.wav
omnific,ɑːmnˈɪfɪk,assets_small\omnific.wav
ombudsmen,ˈɑːmbədzmˌɛn,assets_small\ombudsmen.wav
ombres,ˈɑːmbɚz,assets_small\ombres.wav
onychiums,ɑːnˈɪtʃiəmz,assets_small\onychiums.wav
onerier,ˈoʊnɚɹiɚ,assets_small\onerier.wav
ontologist,ɑːntˈɑːlədʒˌɪst,assets_small\ontologist.wav
onomastically,ˌɑːnəmˈæstɪkli,assets_small\onomastically.wav
onychophagies,ˈɑːnɪtʃˌɑːfædʒiz,assets_small\onychophagies.wav
oneiromancers,wˈʌnɪɹˌoʊmənsɚz,assets_small\oneiromancers.wav
onlay,ˈɑːnleɪ,assets_small\onlay.wav
onlooking,ˈɑːnlʊkɪŋ,assets_small\onlooking.wav
onomatologist,ˌɑːnəmɐtˈɑːlədʒˌɪst,assets_small\onomatologist.wav
oomphs,ˈuːmfz,assets_small\oomphs.wav
oosier,ˈuːsiɚ,assets_small\oosier.wav
ootids,ˈuːɾɪdz,assets_small\ootids.wav
oocytes,ˈuːsaɪts,assets_small\oocytes.wav
oophytes,ˈuːfaɪts,assets_small\oophytes.wav
oorier,ˈuːɹiɚ,assets_small\oorier.wav
oospheres,ˈuːsfɪɹz,assets_small\oospheres.wav
ootid,ˈuːɾɪd,assets_small\ootid.wav
oobit,ˈuːbɪt,assets_small\oobit.wav
optimization,ˌɑːptɪmᵻzˈeɪʃən,assets_small\optimization.wav
